_author_name,Author,DBLP URL,MTMT id,MTA ATT id,MTMT name,Category,MTMT Status,Works,Affiliations,Core A*,Core A,Core A* Papers,Core A Papers,Core B,Core C,No Core,Hungarian Core A* equivalent,Core A* equivalent,First Author Core A* equivalent,MTMT Journal Publications,MTMT Conference Publications,MTMT Total Citations,MTMT Journal D1 Equivalents,MTMT Journal D1,MTMT Journal Q1,MTMT Journal Q2,MTMT Affiliations,Aktuális fokozat szakterülete,Kutatási téma,MTA Bizottság,Elérhetőségek,Aktuális fokozat,Szervezeti tagságok,PhD éve,Foglalkozás,Core A* equivalent Author Order,Hungarian Core A* equivalent Author Order,First Author Core A* equivalent Author Order,Years Since PhD,Age Group,Category Core A* Rank,Category Hungarian Core A* Rank,Category First Author Core A* Rank,Age Group Core A* Rank,Age Group Hungarian Core A* Rank,Age Group First Author Core A* Rank,MTMT Journal Q3,MTMT Journal Q4,Született,MTA tagság,MTA kép,Díjak,DBLP alias
Mihály Petreczky,Mihály Petreczky,https://dblp.org/pid/34/3637,,,,applied,,abroad,"Centre de Recherche en Informatique, Signal et Automatique de Lille (CRIStAL)",4,17,1,0,0,7,11,1.0,10.250000000000002,0.8333333333333333,,,,,,,,,,,,,,,,,55,179,201,0,0-5 év,20,105,89,45,110,145,,,,,,,
Zoltán Miklós 0001,Zoltán Miklós 0001,https://dblp.org/pid/82/31-1,,,,,,hungary,"University of Rennes 1, France; University of Oxford, UK; Vienna University of Technology, Austria; EPFL, Lausanne, Switzerland",5,4,0,0,8,3,23,0.0,7.916666666666666,1.0,,,,,,,,,,,,,,,,,75,334,107,0,0-5 év,11,23,19,58,236,75,,,,,,,
Ildikó Schlotter,Ildikó Schlotter,https://dblp.org/pid/09/515,https://m2.mtmt.hu/api/author/10041230,-,Schlotter Ildikó Anna (számítástudomány),theory,,hungary,BME-SZIT -2011; MTA KRTK 2012-,7,6,7,6,8,0,4,10.333333333333334,10.333333333333334,3.5,36,5,483,9.3125,3,13,11,Számítástudományi és Információelméleti Tanszék BME / VIK SZIT [2000-]; Közgazdaságtudományi Intézet MTA KRTK KTI [2012-2019]; Közgazdaság-tudományi Intézet HRN KRTK KTI [2019-2025]; Közgazdaságtudományi Kutatóintézet ELTE / KRTK KTI [2025-],,,,,,,,,55,18,38,0,0-5 év,30,10,27,45,12,31,1,1,,,,,
Gergely V. Záruba,Gergely V. Záruba,https://dblp.org/pid/39/3121,,,,,,hungary,University of North Texas,2,6,0,0,11,15,11,0.16666666666666666,7.083333333333333,2.4166666666666665,,,,,,,,,,,,,,,,,75,334,62,0,0-5 év,11,23,9,58,236,52,,,,,,,
András Gulyás,András Gulyás,https://dblp.org/pid/18/4170,https://m2.mtmt.hu/api/author/10012954,https://mta.hu/koztestuleti_tagok?PersonId=21209,"Gulyás András (Hálózatkutatás, emberi gondolkodás)",applied,,hungary,BME-TMIT,2,4,2,4,7,4,16,4.833333333333333,4.833333333333333,0.9166666666666666,33,2,802,10.270833333333334,7,7,4,MTA-BME Informatikai Rendszerek Kutatócsoport BME / VIK / HRSZT [2013-2022]; MTA-BME Lendület Jövő Internet Kutatócsoport BME / VIK / TMIT [2012-]; Távközlési és Médiainformatikai Tanszék BME / VIK TMIT [2003-2024]; ELKH-BME Informatikai Rendszerek Kutatócsoport BME / VIK / HRSZT [2022-2023]; Távközlési és Mesterséges Intelligencia Tanszék BME / VIK TMIT [2024-],Informatika,Hálózat kalkulus Képminőség elemzés Komplex hálózatok,Távközlési Tudományos Bizottság,"Budapesti Műszaki és Gazdaságtudományi Egyetem Villamosmérnöki és Informatikai Kar Távközlési és Mesterséges Intelligencia tanszék 1117 Budapest, Magyar tudósok körútja 2. Magyarország Tel.: +36 1 4631561 Fax: +36 1 4631763",MTA doktora (2022),Távközlési Tudományos Bizottság (szavazati jogú tag),2008,Egyetemi adjunktus,131,62,201,17,10-20 év,52,27,89,19,16,26,1,3,,,,,
János Komlós,János Komlós,https://dblp.org/pid/92/6955,https://m2.mtmt.hu/api/author/10028179,-,Komlós János (Graph Theory),theory,,hungary,"University of California, San Diego 1984-1988; Rényi",10,0,10,0,0,0,1,10.0,10.0,3.0,55,0,6251,2.083333333333333,,2,8,MTA Rényi Alfréd Matematikai Kutatóintézet MTA RAMKI [1955-2019]; HUN-REN Rényi Alfréd Matematikai Kutatóintézet HRN RAMKI [2024-]; Rényi Alfréd Matematikai Kutatóintézet RAMKI [2019-2023],,,,,,,,,55,18,38,0,0-5 év,30,10,27,45,12,31,1,,,,,,
Miklós Telek,Miklós Telek,https://dblp.org/pid/51/1636,https://m2.mtmt.hu/api/author/10009130,https://mta.hu/koztestuleti_tagok?PersonId=13977,Telek Miklós (Sztochasztikus modellezés),applied,,hungary,BME-HIT,3,4,3,4,8,3,76,5.916666666666666,5.916666666666666,0.0,162,57,4122,35.8125,17,23,55,Informatikai Tudományok Doktori Iskola törzstagjai BME / EHBDT [2002-]; MTA-BME Informatikai Rendszerek Kutatócsoport BME / VIK / HRSZT [2013-2022]; Hálózati Rendszerek és Szolgáltatások Tanszék BME / VIK HRSZT [2013-]; Híradástechnikai Tanszék BME / VIK HIT [2000-2012]; Budapesti Műszaki Egyetem BME [1949-2000]; HUN-REN-BME Informatikai Rendszerek Kutatócsoport BME / VIK / HRSZT [2023-]; ELKH-BME Informatikai Rendszerek Kutatócsoport BME / VIK / HRSZT [2022-2023],Műszaki tudomány,Forgalom modellezés Teljesítményelemzés,Távközlési Tudományos Bizottság,"Budapesti Műszaki és Gazdaságtudományi Egyetem Villamosmérnöki és Informatikai Kar Hálózati Rendszerek és Szolgáltatások Tanszék 1117 Budapest, Magyar tudósok körútja 2. Magyarország Tel.: +36 1 4632084 Fax: +36 1 4633263; ELKH-BME Informatikai Rendszerek Kutatócsoport 1117 Budapest, Magyar Tudósok körút 2. Magyarország Tel.: +36 1 4633261 Tel./Fax: +36 1 4633263 Email: telek@hit.bme.hu",levelező tag (2025),"Tudományetikai Bizottság (póttag); Távközlési Tudományos Bizottság (elnök, szavazati jogú tag); Kitüntetési és Díjbizottság",,"Egyetemi tanár, kutatócsoport vezető",105,46,201,0,0-5 év,40,18,89,79,28,145,20,5,,,https://aat.mta.hu/aat/FileData/Get/40451,"Magyar Köztársasági Érdemrend tisztikeresztje, polgári tagozat: 2023; Legjobb poszter (4th Congress of Ph.D. Students at Albert Szent-Györgyi Medical Universitiy): 2014",
Felician Németh,Felician Németh,https://dblp.org/pid/22/2016,https://m2.mtmt.hu/api/author/10040624,-,Németh Felicián Bálint (Informatika),applied,,hungary,BME-TMIT,1,5,1,5,10,3,12,4.583333333333334,4.583333333333334,0.5833333333333334,10,2,727,2.8958333333333335,2,1,3,MTA-BME Informatikai Rendszerek Kutatócsoport BME / VIK / HRSZT [2013-2022]; Távközlési és Médiainformatikai Tanszék BME / VIK TMIT [2003-2024]; MTA-BME Lendület Jövő Internet Kutatócsoport BME / VIK / TMIT [2012-]; MTA-BME Lendület Hálózat Szoftverizációs Kutatócsoport BME / VIK / EIT / MIK [2017-]; Budapesti Műszaki és Gazdaságtudományi Egyetem BME [2000-]; ELKH-BME Felhőalkalmazások Kutatócsoport BME / VIK / TMIT ELKHBMEFK [2022-2023]; Távközlési és Mesterséges Intelligencia Tanszék BME / VIK TMIT [2024-]; HUN-REN-BME Felhőalkalmazások Kutatócsoport BME / VIK / TMIT [2023-],,,,,,,,,131,62,201,0,0-5 év,52,27,89,95,34,145,,1,,rendes tag,,,
Ágnes Cseh,Ágnes Cseh,https://dblp.org/pid/154/6357,https://m2.mtmt.hu/api/author/10057672,-,Cseh Ágnes (matematika),theory,,hungary,University of Bayreuth,4,7,0,0,7,1,1,0.3333333333333333,7.583333333333334,4.833333333333333,35,0,186,7.25,2,9,12,Operációkutatás és Aktuáriustudományok Tanszék BCE / MSMI OAT [2016-2022]; Közgazdaságtudományi Intézet MTA KRTK KTI [2012-2019]; Közgazdaság-tudományi Intézet HRN KRTK KTI [2019-2025],,,,,,,,,75,334,26,0,0-5 év,37,113,18,58,236,21,3,,,,,,
Balázs Sonkoly,Balázs Sonkoly,https://dblp.org/pid/23/1820,https://m2.mtmt.hu/api/author/10041001,https://mta.hu/koztestuleti_tagok?PersonId=10048726,Sonkoly Balázs (infokommunikáció),applied,,hungary,BME-TMIT,1,1,1,1,12,8,41,3.9999999999999996,3.9999999999999996,1.5833333333333333,29,1,1760,11.75,9,5,6,MTA-BME Lendület Hálózat Szoftverizációs Kutatócsoport BME / VIK / EIT / MIK [2017-]; Távközlési és Médiainformatikai Tanszék BME / VIK TMIT [2003-2024]; MTA-BME Lendület Jövő Internet Kutatócsoport BME / VIK / TMIT [2012-]; ELKH-BME Felhőalkalmazások Kutatócsoport BME / VIK / TMIT ELKHBMEFK [2022-2023]; Távközlési és Mesterséges Intelligencia Tanszék BME / VIK TMIT [2024-]; HUN-REN-BME Felhőalkalmazások Kutatócsoport BME / VIK / TMIT [2023-],Informatika,5G/6G Cloud/Edge/Fog Computing Felhő alapú kiterjesztett valóság alkalmazások Forgalommodellezés Hálózati funkciók virtualizálása (NFV) Programozható hálózatok (SDN) Torlódásszabályozási mechanizmusok Útvonalválasztási és csomagtovábbítási algoritmusok,Távközlési Tudományos Bizottság,"Budapesti Műszaki és Gazdaságtudományi Egyetem Villamosmérnöki és Informatikai Kar Távközlési és Mesterséges Intelligencia tanszék 1117 Budapest, Magyar tudósok körútja 2. Magyarország Tel.: +36 1 4632403 Email: sonkoly@tmit.bme.hu Honlap: https://netsoft.gsuite.tmit.bme.hu",PhD (2010),Távközlési Tudományos Bizottság; Hírközlési és Informatikai Tudományos Egyesület,2010,egyetemi docens,159,83,107,15,10-20 év,67,42,35,24,19,14,1,,"Budapest, 1979.03.12.",,,,
Levente Buttyán,Levente Buttyán,https://dblp.org/pid/84/3267,https://m2.mtmt.hu/api/author/10001261,https://mta.hu/koztestuleti_tagok?PersonId=18846,"Buttyán Levente (Távközlés, informatika)",applied,,hungary,BME-HIT 2003-; EPFL -2002,0,12,0,7,7,20,43,4.666666666666667,6.833333333333334,2.8333333333333335,75,6,9011,19.916666666666668,15,8,9,Budapesti Műszaki Egyetem BME [1949-2000]; Híradástechnikai Tanszék BME / VIK HIT [2000-2012]; MTA-BME Informatikai Rendszerek Kutatócsoport BME / VIK / HRSZT [2013-2022]; Hálózati Rendszerek és Szolgáltatások Tanszék BME / VIK HRSZT [2013-]; ELKH-BME Informatikai Rendszerek Kutatócsoport BME / VIK / HRSZT [2022-2023]; HUN-REN-BME Informatikai Rendszerek Kutatócsoport BME / VIK / HRSZT [2023-],Informatika,"Alkalmazott kriptográfia Beágyazott rendszerek biztonsága Informatikai biztonság, kiberbiztonság Kiber-fizikai rendszerek biztonsága",Távközlési Tudományos Bizottság,"Budapesti Műszaki és Gazdaságtudományi Egyetem Villamosmérnöki és Informatikai Kar Hálózati Rendszerek és Szolgáltatások Tanszék 1117 Budapest, Magyar tudósok körútja 2. Magyarország Tel.: +36 1 4631803 Fax: +36 1 4633266",MTA doktora (2021),Távközlési Tudományos Bizottság (szavazati jogú tag),2002,tanszékvezető-helyettes egyetemi docens,89,62,62,23,20+ év,33,27,15,13,14,6,6,4,,,https://aat.mta.hu/aat/FileData/Get/40441,,
Pál Varga,Pál Varga,https://dblp.org/pid/58/3919,https://m2.mtmt.hu/api/author/10034936,https://mta.hu/koztestuleti_tagok?PersonId=10051044,"Varga Pál (távközlés, infokommunikáció)",applied,,hungary,BME-TMIT,0,2,0,2,11,40,31,5.833333333333334,5.833333333333334,0.5,65,4,2812,8.9375,3,10,12,Távközlési és Médiainformatikai Tanszék BME / VIK TMIT [2003-2024]; Távközlési és Mesterséges Intelligencia Tanszék BME / VIK TMIT [2024-],Informatika,Dolgok Internete Hálózat- és Szolgáltatás-menedzsment Hálózatmonitorozás,Távközlési Tudományos Bizottság,"Budapesti Műszaki és Gazdaságtudományi Egyetem Villamosmérnöki és Informatikai Kar Távközlési és Mesterséges Intelligencia tanszék 1117 Budapest, Magyar tudósok körútja 2. Magyarország Email: pvarga@tmit.bme.hu",PhD (2011),Távközlési Tudományos Bizottság (szavazati jogú tag); IEEE ComSoc Hungarian Chapter,2011,,105,46,201,14,10-20 év,40,18,89,10,8,26,5,3,"Hajdúböszörmény, 1974.07.15.",,https://aat.mta.hu/aat/FileData/Get/35224,,
Dömötör Pálvölgyi,Dömötör Pálvölgyi,https://dblp.org/pid/56/6527,https://m2.mtmt.hu/api/author/10020954,https://mta.hu/koztestuleti_tagok?PersonId=24243,Pálvölgyi Dömötör (Matematika),theory,,hungary,ELTE; Rényi,5,9,5,9,2,1,8,8.416666666666668,8.416666666666668,0.0,105,11,988,30.229166666666664,15,26,35,Számítógéptudományi Tanszék ELTE / TTK / Mat_I Szgtud_Tsz [2006-]; MTA-ELTE Lendület Kombinatorikus Geometria Kutatócsoport ELTE / TTK / Mat_I [2017-]; Diszkrét Matematika RAMKI DM [1955-2021]; Gráfelmélet Osztály HRN RAMKI GO [2022-],Matematikai tudomány,Fedések szétszedése,Matematikai Tudományos Bizottság,"Eötvös Loránd Tudományegyetem Természettudományi Kar Matematikai Intézet Számítógéptudományi Tanszék 1117 Budapest, Pázmány Péter sétány 1/C Magyarország Tel.: +36 1 3722700 / 8604",MTA doktora (2024),Matematikai Tudományos Bizottság; Bolyai János Matematikai Társulat,2010,Adjunktus,71,29,201,15,10-20 év,35,16,73,6,4,26,8,1,"Budapest, 1981.07.04.",,,Burgen-díj (Academia Europaea): 2017; Grünwald Géza-díj (Bolyai János Matematikai Társulat): 2010,
Gábor Fodor 0001,Gábor Fodor 0001,https://dblp.org/pid/14/5281,https://m2.mtmt.hu/api/author/10010084,https://mta.hu/koztestuleti_tagok?PersonId=15165,Fodor Gábor (Távközlés),applied,inactive,abroad,"BME-HIT -2018; ERcisson Stockholm 2008-; KTH Royal Institute of Technology, Sweden 2012-",1,6,1,6,9,24,64,5.416666666666667,6.5,1.8333333333333333,113,4,4227,72.375,66,11,11,Távközlési és Telematika Tanszék BME / VIK TTT [2000-2003]; Távközlési és Médiainformatikai Tanszék BME / VIK TMIT [2003-2024]; Budapesti Műszaki Egyetem BME [1949-2000],Informatika,,Távközlési Tudományos Bizottság,"KTH Royal Institute of Technology, Sweden SE-100 44 Stockholm, MALVINAS VÄG 10 Svédország; ERICSSON Research - Corporate Unit",MTA doktora (2019),"Távközlési Tudományos Bizottság; IEEE (Institute of Electrical and Electronics Engineers, INC)",1998,,89,46,107,27,20+ év,33,18,35,13,12,17,9,2,,,https://aat.mta.hu/aat/FileData/Get/17750,,
Árpád Beszédes,Árpád Beszédes,https://dblp.org/pid/60/670,https://m2.mtmt.hu/api/author/10022619,https://mta.hu/koztestuleti_tagok?PersonId=24312,Beszédes Árpád (Számítástudomány),theory,,hungary,SZTE,0,11,0,11,2,34,36,6.833333333333334,6.833333333333334,0.75,26,7,1710,5.437499999999999,1,8,9,Matematika- és Számítástudományok Doktori Iskola SZTE / DI MDI [2000-2021]; Szoftverfejlesztés Tanszék SZTE / TTIK / ITCS SZFT [2007-2015]; MTA-SZTE Mesterséges Intelligencia Kutatócsoport SZTE / TTIK / ITCS [2007-2015]; Szoftverfejlesztés Tanszék SZTE / TTIK / INF SZFT [2016-]; MTA-SZTE Mesterséges Intelligencia Kutatócsoport SZTE / TTIK / INF [2016-2022]; HUN-REN-SZTE Mesterséges Intelligencia Kutatócsoport SZTE / TTIK / INF [2023-]; ELKH-SZTE Mesterséges Intelligencia Kutatócsoport SZTE / TTIK / INF [2022-2023]; MTA-SZTE Mesterséges Intelligencia Kutatócsoport SZTE / TTK / ITCS [2000-2006],Informatikai tudomány,Hibakeresés Kód elemzés Szoftverminőség biztosítás Szoftvertesztelés,Informatika- és Számítástudományi Bizottság,"Szegedi Tudományegyetem Természettudományi és Informatikai Kar Informatikai Intézet Szoftverfejlesztés Tanszék 6720 Szeged, Dugonics tér 13. Magyarország Tel.: +36 62 544158 Tel./Fax: +36 62 546723 Email: beszedes@inf.u-szeged.hu Honlap: http://www.inf.u-szeged.hu/~beszedes/hun/index.html",PhD (2005),Informatika- és Számítástudományi Bizottság; Szegedi Területi Bizottság; Informatikai Munkabizottság (szavazati jogú tag),2005,egyetemi docens,89,39,201,20,10-20 év,44,23,73,8,6,26,1,3,"Újvidék, 1974.03.03.",,https://aat.mta.hu/aat/FileData/Get/40085,Bolyai János Kutatási Ösztöndíj (MTA Bolyai János Kutatási Ösztöndíj Kuratóriuma): 2016 - 2019,
Tillmann Miltzow,Tillmann Miltzow,https://dblp.org/pid/37/8210,https://m2.mtmt.hu/api/author/10058133,-,Miltzow Tillmann (Paraméteres algoritmusok),theory,inactive,abroad,abroad,4,9,0,0,6,0,16,0.16666666666666666,8.0,1.5,0,0,46,0,,,,Paraméteres Algoritmusok és Bonyolultság Kutatócsoport HRN SZTAKI / INFKL [2012-2020],,,,,,,,,71,334,107,0,0-5 év,35,113,55,55,236,75,,,,,,,
Géza Tóth 0001,Géza Tóth 0001,https://dblp.org/pid/38/1635,https://m2.mtmt.hu/api/author/10001236,https://mta.hu/koztestuleti_tagok?PersonId=18525,Tóth Géza (Kombinatorikus geometria),theory,,hungary,Rényi,1,19,1,19,1,5,14,7.916666666666667,7.916666666666667,0.08333333333333333,89,2,3009,22.75,10,22,30,Geometria HRN RAMKI [1955-]; Számítástudományi és Információelméleti Tanszék BME / VIK SZIT [2000-],Matematikai tudomány,"Gráfok lerajzolásai, reprezentációi, metszési számai",Matematikai Tudományos Bizottság,"Budapesti Műszaki és Gazdaságtudományi Egyetem Villamosmérnöki és Informatikai Kar Számítástudományi és Információelméleti Tanszék 1117 Budapest, Magyar Tudósok Körútja 2. Magyarország; HUN-REN Rényi Alfréd Matematikai Kutatóintézet Geometria 1053 Budapest, Reáltanoda utca 13-15. Magyarország",MTA doktora (2008),Matematikai Tudományos Bizottság,1997,"felallasu docens, tud tanacsado",75,33,201,28,20+ év,37,20,73,11,9,25,5,,,,,,
János Csirik,János Csirik,https://dblp.org/pid/c/JCsirik,https://m2.mtmt.hu/api/author/10000477,https://mta.hu/koztestuleti_tagok?PersonId=10097,Csirik János (Számítástudomány),theory,inactive,hungary,SZTE,3,7,3,7,6,10,14,7.166666666666667,7.166666666666667,4.583333333333333,85,12,2525,7.833333333333334,4,3,14,Számítógépes Algoritmusok és Mesterséges Intelligencia Tanszék SZTE / TTIK / ITCS SZAMIT [2007-2015]; Számítógépes Algoritmusok és Mesterséges Intelligencia Tanszék SZTE / TTIK / INF SZAMIT [2016-2025]; MTA-SZTE Mesterséges Intelligencia Kutatócsoport SZTE / TTIK / INF [2016-2022]; MTA-SZTE Mesterséges Intelligencia Kutatócsoport SZTE / TTIK / ITCS [2007-2015]; ELKH-SZTE Mesterséges Intelligencia Kutatócsoport SZTE / TTIK / INF [2022-2023]; HUN-REN-SZTE Mesterséges Intelligencia Kutatócsoport SZTE / TTIK / INF [2023-]; Mesterséges Intelligencia Tanszék SZTE / TTIK / INF MIT [2025-],Matematikai tudomány,Algoritmusok elemzése Mesterséges intelligencia,Informatika- és Számítástudományi Bizottság,"Szegedi Tudományegyetem Természettudományi és Informatikai Kar Informatikai Intézet Számítógépes Algoritmusok és Mesterséges Intelligencia Tanszék 6720 Szeged, Árpád tér 2. Magyarország Tel.: +36 62 546396 Fax: +36 62 546397",tudomány doktora (1990),Informatika- és Számítástudományi Bizottság (szavazati jogú tag); Szegedi Területi Bizottság; Informatikai Munkabizottság (szavazati jogú tag); Acta Cybernetica (főszerkesztő); Magyar Felsőoktatási Akkreditációs Bizottság Nemzetközi Bizottság (elnök); Neumann János Számítástudományi Társaság; American Mathematical Society; Association of Computing Machinery; Alkalmazott Matematikai Lapok (szerkesztőbizottsági tag),,egyetemi tanár,75,33,26,0,0-5 év,37,20,18,58,21,21,6,,1946.04.14,,https://aat.mta.hu/aat/FileData/Get/2871,Széchenyi-díj: 2009; Magyar Köztásasági Érdemrend tisztikeresztje: 2008; AJK Bolyai János szakkuratóriumi díj: 1999; Kalmár-díj: 1983; Akadémiai Díj (Magyar Tudományos Akadémia Elnöksége): 1981,
Sándor Kisfaludi-Bak,Sándor Kisfaludi-Bak,https://dblp.org/pid/153/1825,,,,theory,,abroad,ELTE -2016; ETH Zurich 2017-2021; Aalto University 2022-,5,7,1,1,3,1,8,1.3333333333333333,7.916666666666667,3.75,,,,,,,,,,,,,,,,,75,179,38,0,0-5 év,37,71,27,58,110,31,,,,rendes tag,,,
Gergely Kál Csáji,Gergely Kál Csáji,https://dblp.org/pid/345/2437,https://m2.mtmt.hu/api/author/10086625,-,"Csáji Gergely Kál (Matematika, Számítástudomány)",theory,,hungary,ELTE,5,2,5,2,3,0,1,6.166666666666667,6.166666666666667,3.0,11,0,21,4.5,2,6,3,Közgazdaság-tudományi Intézet HRN KRTK KTI [2019-2025]; MTA-ELTE Lendület Matroidelméleti Kutatócsoport ELTE / TTK / Mat_I [2021-]; Operációkutatási Tanszék ELTE / TTK / Mat_I Opkut_Tsz [2006-]; Közgazdaságtudományi Kutatóintézet ELTE / KRTK KTI [2025-],,,,,,,,,89,39,38,0,0-5 év,44,23,27,69,24,31,,,,,,,
Viktória Elek,Viktória Elek,https://dblp.org/pid/28/313,,,,applied,inactive,abroad,"BME-HIT -1998; Royal Institute of Technology, Stockholm, Sweden 1999-",3,2,1,0,6,21,33,1.0,6.416666666666666,1.4166666666666665,,,,,,,,,,,,,,,,,89,179,107,0,0-5 év,33,105,35,69,110,75,,,,,,,
Andras Sebo,Andras Sebo,https://dblp.org/pid/01/283,https://m2.mtmt.hu/api/author/10062795,-,Sebő András (Matematika),theory,inactive,abroad,Grenoble,1,20,0,2,0,0,5,0.6666666666666666,7.666666666666667,3.6666666666666665,60,5,1717,8.145833333333334,4,8,8,Matematikai Intézet ELTE / TTK Mat_I [2006-],,,,,,,,,75,334,38,0,0-5 év,37,113,27,58,236,31,1,1,,,,,
Peter Baranyi,Peter Baranyi,https://dblp.org/pid/334/2417,https://m2.mtmt.hu/api/author/10001331,https://mta.hu/koztestuleti_tagok?PersonId=15465,Baranyi Péter Zoltán (Automatika és Informatika),applied,,hungary,"Széchenyi István Egyetem, Hungary 2014-; SZTAKI -213; BME-MTMIT -2013",0,11,0,6,3,23,61,2.916666666666667,6.083333333333333,0.0,130,4,8034,24.75,15,13,25,"Budapesti Műszaki Egyetem BME [1949-2000]; Széchenyi István Egyetem SZE [2002-]; Informatika Tanszék SZE / MTK IT [2012-2015]; Informatika Tanszék SZE / MTK / JÁGIVI IT [2005-2011]; Kognitív Informatika Csoport HRN SZTAKI / RIEK [2003-2012]; Távközlési és Médiainformatikai Tanszék BME / VIK TMIT [2003-2024]; 3D Internet-alapú Kontroll és Kommunikációs Kutatólaboratórium MTA SZTAKI 3D IKKK [2013-2015]; Informatika Tanszék SZE / IVK IT [2015-]; Gépészmérnöki, Informatikai és Villamosmérnöki Kar SZE GIVK [2015-2025]; Járműipari Kutatóközpont SZE JKK [2011-]; Távközlési és Telematika Tanszék BME / VIK TTT [2000-2003]; Multidiszciplináris Műszaki Tudományi Doktori Iskola SZE MMTDI [2015-]; Műszaki Informatikai Kar PE MIK [2006-]; Corvinus Institute for Advanced Studies BCE CIAS [2020-]; Adatelemzés és Informatika Intézet BCE AII [2022-]",Műszaki tudomány,Kognitív Infokommunikáció LPV rendszer modellek Tenzorszorzat alapú felbontásai TP modell transzformáció a rendszer- és irányításelméletben,Informatikai Tudományos Bizottság,"Pannon Egyetem Műszaki Informatikai Kar 8200 Veszprém, Egyetem utca 10. Magyarország Email: peter.baranyi@uni-corvinus.hu",MTA doktora (2006),Informatikai Tudományos Bizottság (szavazati jogú tag),1999,,89,116,201,26,20+ év,33,64,89,13,26,25,9,8,,,https://aat.mta.hu/aat/FileData/Get/29810,,
László Toka,László Toka,https://dblp.org/pid/96/5813,https://m2.mtmt.hu/api/author/10026377,https://mta.hu/koztestuleti_tagok?PersonId=24049,Toka László (Távközlés és informatika),applied,,hungary,BME-TMIT,3,2,3,2,6,11,38,5.583333333333333,5.583333333333333,2.9166666666666665,58,6,1460,18.979166666666664,11,16,11,MTA-BME Informatikai Rendszerek Kutatócsoport BME / VIK / HRSZT [2013-2022]; Távközlési és Médiainformatikai Tanszék BME / VIK TMIT [2003-2024]; MTA-BME Lendület Hálózat Szoftverizációs Kutatócsoport BME / VIK / EIT / MIK [2017-]; ELKH-BME Informatikai Rendszerek Kutatócsoport BME / VIK / HRSZT [2022-2023]; ELKH-BME Felhőalkalmazások Kutatócsoport BME / VIK / TMIT ELKHBMEFK [2022-2023]; HUN-REN-BME Felhőalkalmazások Kutatócsoport BME / VIK / TMIT [2023-]; Budapesti Műszaki és Gazdaságtudományi Egyetem BME [2000-]; Távközlési és Mesterséges Intelligencia Tanszék BME / VIK TMIT [2024-],Műszaki tudomány,Adatelemzés Elosztott rendszerek Felhőszámítás,Távközlési Tudományos Bizottság,"Budapesti Műszaki és Gazdaságtudományi Egyetem Villamosmérnöki és Informatikai Kar Távközlési és Mesterséges Intelligencia tanszék 1117 Budapest, Magyar tudósok körútja 2. Magyarország; MTA-BME Felhőalkalmazások Kutatócsoport 1521 Budapest, Pf. 91. Magyarország",MTA doktora (2024),Távközlési Tudományos Bizottság; IEEE ComSoc Hungarian Chapter,2011,"egyetemi docens, kutató főmunkatárs",105,46,62,14,10-20 év,40,18,15,10,8,5,3,9,,,https://aat.mta.hu/aat/FileData/Get/34777,Új Nemzeti Kiválóság Program Bolyai+ Felsőoktatási Fiatal Oktatói Kutatói Ösztöndíj: 2022 - 2023; Új Nemzeti Kiválóság Program Bolyai+ Felsőoktatási Fiatal Oktatói Kutatói Ösztöndíj: 2021 - 2022; Bolyai János Kutatási Ösztöndíj (MTA Bolyai János Kutatási Ösztöndíj Kuratóriuma): 2021 - 2024; Ezüst Jelvény (HTE): 2020; Bolyai János Kutatási Ösztöndíj (MTA Bolyai János Kutatási Ösztöndíj Kuratóriuma): 2014 - 2017; Magyar Köztársasági Ösztöndíj (Magyar Köztársaság Oktatási Minisztere): 2005 - 2006; Köztársasági ösztöndíj: 2002 - 2005; Elismerő oklevél (Miniszterelnöki Hivatal): 2001,
Benedek Rozemberczki,Benedek Rozemberczki,https://dblp.org/pid/215/3742,,,,applied,inactive,company,"Isomorphic Labs, London",5,6,0,1,1,1,2,0.3333333333333333,7.25,6.166666666666667,,,,,,,,,,,,,,,,,75,334,18,0,0-5 év,29,200,5,58,236,15,,,,,,,
András Faragó,András Faragó,https://dblp.org/pid/68/4393,,,,applied,inactive,abroad,"BME-TMIT -1997; University of Texas at Dallas, USA 1998-",2,7,0,1,3,12,25,0.3333333333333333,5.833333333333334,3.833333333333333,,,,,,,,,,,,,,,,,105,334,38,0,0-5 év,40,200,8,79,236,31,,,,,,,
